instrument_name,base_currency,quote_currency,settlement_currency,option_type,strike,expiration_datetime,days_to_expiry,underlying_price,best_bid_price_eth,best_ask_price_eth,mark_price_eth,last_price_eth,best_bid_price_usd,best_ask_price_usd,mark_price_usd,last_price_usd,bid_iv,ask_iv,mark_iv,open_interest,state,delta,gamma,theta,vega,rho,timestamp
ETH-29MAY26-2300-P,ETH,ETH,ETH,put,2300.0,2026-05-29 08:00:00+00:00,19.953133367175926,2318.86,0.042,0.0425,0.0421,0.041,97.39212,98.55155,97.62400600000001,95.07326,0.4949,0.5003,0.496,18176.0,open,-0.44891,0.00147,-2.66622,2.1452,-0.62243,2026-05-09 09:07:23.886000+00:00
ETH-29MAY26-2350-C,ETH,ETH,ETH,call,2350.0,2026-05-29 08:00:00+00:00,19.95313068306713,2318.86,0.0395,0.0405,0.0401,0.0405,91.59497,93.91383,92.98628599999999,93.91383,0.4891,0.49979999999999997,0.4953,8967.0,open,0.47716,0.00148,-2.68017,2.15941,0.55407,2026-05-09 09:07:25.123000+00:00
ETH-29MAY26-2350-P,ETH,ETH,ETH,put,2350.0,2026-05-29 08:00:00+00:00,19.95312739173611,2318.86,0.0525,0.054,0.0535,0.0546,121.74015,125.21844,124.05901,126.60975600000002,0.48450000000000004,0.5006,0.4953,14074.0,open,-0.52284,0.00148,-2.68018,2.15941,-0.73061,2026-05-09 09:07:22.202000+00:00
ETH-29MAY26-2400-C,ETH,ETH,ETH,call,2400.0,2026-05-29 08:00:00+00:00,19.953124668993055,2318.86,0.0315,0.032,0.0316,0.0325,73.04409000000001,74.20352000000001,73.27597600000001,75.36295000000001,0.4949,0.5004,0.4954,14647.0,open,0.40555,0.00144,-2.60951,2.10205,0.4741,2026-05-09 09:07:22.202000+00:00
ETH-29MAY26-2400-P,ETH,ETH,ETH,put,2400.0,2026-05-29 08:00:00+00:00,19.953121306134257,2318.88,0.0655,0.067,0.0665,0.0822,151.88664,155.36496000000002,154.20552,190.611936,0.484,0.5005,0.4954,6572.0,open,-0.59442,0.00144,-2.60958,2.10211,-0.83787,2026-05-09 09:07:22.202000+00:00
ETH-29MAY26-2450-C,ETH,ETH,ETH,call,2450.0,2026-05-29 08:00:00+00:00,19.953118554074074,2318.89,0.024,0.025,0.0246,0.025,55.65336,57.97225,57.044694,57.97225,0.4899,0.5015999999999999,0.49689999999999995,7876.0,open,0.33894,0.00136,-2.47043,1.98422,0.39849,2026-05-09 09:07:30.320000+00:00
ETH-29MAY26-2450-P,ETH,ETH,ETH,put,2450.0,2026-05-29 08:00:00+00:00,19.95311523550926,2318.89,0.0795,0.0845,0.0811,0.0972,184.351755,195.946205,188.061979,225.39610799999997,0.4777,0.5359,0.49689999999999995,2115.0,open,-0.66106,0.00136,-2.47043,1.98422,-0.94085,2026-05-09 09:07:30.258000+00:00
ETH-29MAY26-2500-C,ETH,ETH,ETH,call,2500.0,2026-05-29 08:00:00+00:00,19.953112484560187,2318.89,0.0185,0.0195,0.019,0.0195,42.89946499999999,45.218354999999995,44.05891,45.218354999999995,0.4929,0.5057,0.4996,25355.0,open,0.27916,0.00124,-2.2817,1.82245,0.32977,2026-05-09 09:07:30.258000+00:00
ETH-29MAY26-2500-P,ETH,ETH,ETH,put,2500.0,2026-05-29 08:00:00+00:00,19.953109118113424,2318.89,0.094,0.1005,0.0971,0.097,217.97565999999998,233.04844500000002,225.164219,224.93233,0.45909999999999995,0.5418999999999999,0.4996,762.0,open,-0.72084,0.00124,-2.2817,1.82245,-1.03691,2026-05-09 09:07:30.258000+00:00
ETH-29MAY26-2550-C,ETH,ETH,ETH,call,2550.0,2026-05-29 08:00:00+00:00,19.953106371886573,2318.89,0.014,0.015,0.0146,0.015,32.464459999999995,34.78335,33.855793999999996,34.78335,0.4943,0.5085999999999999,0.5029,8198.0,open,0.22686,0.00111,-2.05857,1.63364,0.26907,2026-05-09 09:07:30.258000+00:00
ETH-29MAY26-2550-P,ETH,ETH,ETH,put,2550.0,2026-05-29 08:00:00+00:00,19.953103055104165,2318.85,0.107,0.122,0.1143,0.118,248.11694999999997,282.8997,265.044555,273.62429999999995,0.3895,0.6065999999999999,0.5029,173.0,open,-0.77319,0.00111,-2.05831,1.63343,-1.12499,2026-05-09 09:07:30.258000+00:00
