instrument_name,option_type,spot_price,strike,days_to_expiry,market_price_usd,model_price_usd,price_diff_usd,price_diff_pct,implied_volatility,historical_volatility,volatility_spread,cheapness_score,volatility_edge,combined_score,bid_ask_spread_pct,delta,gamma,theta,vega,open_interest,classification
ETH-29MAY26-2050-P,put,2318.88,2050.0,19.95316382447917,23.1888,36.19157438123699,-13.00277438123699,-0.35927628470283113,0.535,0.6375365835831345,-0.10253658358313444,0.35927628470283113,0.10253658358313444,0.46181286828596557,0.10000000000000016,-0.14737,0.00079,-1.67478,1.24925,4461.0,cheap
ETH-29MAY26-2400-C,call,2318.86,2400.0,19.953124668993055,73.623805,105.32250412749829,-31.698699127498287,-0.3009679592228968,0.4954,0.6375365835831345,-0.14213658358313447,0.3009679592228968,0.14213658358313447,0.4431045428060313,0.015748031496062995,0.40555,0.00144,-2.60951,2.10205,14647.0,cheap
ETH-29MAY26-2200-P,put,2318.86,2200.0,19.95314561199074,56.812070000000006,81.20458484930896,-24.392514849308952,-0.30038346842821806,0.5033,0.6375365835831345,-0.1342365835831345,0.30038346842821806,0.1342365835831345,0.43462005201135256,0.040816326530612256,-0.30642,0.00129,-2.39988,1.90303,12085.0,cheap
ETH-22MAY26-2300-P,put,2317.8,2300.0,12.953201032152778,73.59015,100.27007767594955,-26.679927675949557,-0.2660806523175649,0.4728,0.6375365835831345,-0.16473658358313448,0.2660806523175649,0.16473658358313448,0.43081723590069937,0.01574803149606303,-0.44785,0.00192,-3.15163,1.72703,1010.0,cheap
ETH-29MAY26-2350-C,call,2318.86,2350.0,19.95313068306713,92.7544,125.92348246585448,-33.16908246585447,-0.2634066483576535,0.4953,0.6375365835831345,-0.14223658358313446,0.2634066483576535,0.14223658358313446,0.40564323194078794,0.02500000000000001,0.47716,0.00148,-2.68017,2.15941,8967.0,cheap
ETH-22MAY26-2300-C,call,2317.8,2300.0,12.953204327430555,92.13255000000001,121.33269229082953,-29.20014229082952,-0.24066178487853845,0.4728,0.6375365835831345,-0.16473658358313448,0.24066178487853845,0.16473658358313448,0.40539836846167293,0.0377358490566037,0.55215,0.00192,-3.15163,1.72703,588.0,cheap
ETH-29MAY26-2250-P,put,2318.86,2250.0,19.95313950224537,75.36295000000001,101.85934489884016,-26.49639489884015,-0.26012728557359743,0.4979,0.6375365835831345,-0.13963658358313447,0.26012728557359743,0.13963658358313447,0.3997638691567319,0.030769230769230774,-0.37557,0.00141,-2.56652,2.05687,16574.0,cheap
ETH-22MAY26-2350-P,put,2317.8,2350.0,12.953194657835647,100.24485000000001,126.70320361270001,-26.458353612699995,-0.2088215045736062,0.47609999999999997,0.6375365835831345,-0.1614365835831345,0.2088215045736062,0.1614365835831345,0.3702580881567407,0.03468208092485529,-0.54339,0.00191,-3.18226,1.73162,669.0,cheap
ETH-29MAY26-2300-C,call,2318.86,2300.0,19.953136739027777,116.522715,149.32980450659284,-32.80708950659283,-0.2196955230403748,0.496,0.6375365835831345,-0.14153658358313448,0.2196955230403748,0.14153658358313448,0.36123210662350924,0.029850746268656605,0.55109,0.00147,-2.66623,2.1452,10264.0,cheap
ETH-29MAY26-2300-P,put,2318.86,2300.0,19.953133367175926,97.971835,125.44600424410032,-27.474169244100324,-0.21901191201466605,0.496,0.6375365835831345,-0.14153658358313448,0.21901191201466605,0.14153658358313448,0.36054849559780056,0.011834319526627224,-0.44891,0.00147,-2.66622,2.1452,18176.0,cheap
ETH-22MAY26-2250-C,call,2317.8,2250.0,12.953210517557869,121.10505,148.42403697183,-27.318986971829986,-0.18406039566903148,0.4757,0.6375365835831345,-0.16183658358313446,0.18406039566903148,0.16183658358313446,0.34589697925216595,0.0478468899521531,0.64657,0.00179,-2.98034,1.62301,69.0,cheap
ETH-29MAY26-2350-P,put,2318.86,2350.0,19.95312739173611,123.47929500000001,151.9304711572554,-28.45117615725539,-0.18726445024847613,0.4953,0.6375365835831345,-0.14223658358313446,0.18726445024847613,0.14223658358313446,0.32950103383161056,0.02816901408450705,-0.52284,0.00148,-2.68018,2.15941,14074.0,cheap
ETH-29MAY26-2250-C,call,2318.86,2250.0,19.953142850289353,144.34903500000001,175.63393347452302,-31.284898474523004,-0.17812559256415622,0.4979,0.6375365835831345,-0.13963658358313447,0.17812559256415622,0.13963658358313447,0.3177621761472907,0.02409638554216878,0.62443,0.00141,-2.56652,2.05687,15783.0,cheap
