instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used,mci,edge_score,regime_score,vol_score,liquidity_score,greek_score,portfolio_score,mci_reject_reason,decision_reason,decision
ETH-29MAY26-2100-P,put,2026-05-29,2100.0,15.049874001041667,2267.11,2267.11,-0.0737105830771335,0.0737105830771335,30.379274,29.47243,30.605985,31.73954,30.379274,51.41,0.5141,-0.21394,0.00123,1.34227,-2.29265,66495.0,60179.0,0.0377358490566038,48.724944705816256,48.724944705816256,-0.3765149620298357,-0.1336031170848439,cheap,0.5101180791146798,0.647703117084844,0.7056410422755132,1.0,0.55,0.22906984505292682,0.8921832884097034,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-22MAY26-2250-P,put,2026-05-22,2250.0,8.049874001041667,2267.11,2267.11,-0.0075470532969287,0.0075470532969287,53.050374000000005,52.143530000000005,53.277085,55.544195,53.050374000000005,46.1,0.461,-0.43943,0.00254,1.32835,-3.80336,3357.0,383.0,0.0215053763440859,77.38503939771215,77.38503939771215,-0.3144621439377543,-0.1867031170848439,cheap,0.5011652610225983,0.647703117084844,0.6531267547453261,0.8554525157054119,0.55,0.22906984505292682,0.938556067588326,0.2016624667013889,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2000-P,put,2026-05-29,2000.0,15.049874001041667,2267.11,2267.11,-0.1178196029306033,0.1178196029306033,14.962926,13.60266,15.86977,14.736215,14.962926,54.53,0.5453,-0.11619,0.00078,0.90082,-1.63201,10603.0,1511.0,0.1538461538461538,24.843969040073542,24.843969040073542,-0.3977240119779304,-0.1024031170848439,cheap,0.5001271290627745,0.647703117084844,0.6130449861411508,0.8286620122446365,0.55,0.22906984505292682,0.5604395604395606,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2300-P,put,2026-05-17,2300.0,3.049874001041667,2267.11,2267.11,0.0145074566298062,0.0145074566298062,52.823663,51.009975,54.41064,62.345525,52.823663,40.97,0.4097,-0.64275,0.00439,0.77326,-5.19394,2503.0,2504.0,0.064516129032258,71.4961368487061,71.4961368487061,-0.261167591309432,-0.2380031170848439,cheap,0.4991707083942759,0.647703117084844,0.5584539944194123,0.6171608599624326,0.55,0.22906984505292682,0.8156682027649771,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2150-P,put,2026-05-29,2150.0,15.049874001041667,2267.11,2267.11,-0.0516560731503985,0.0516560731503985,42.394957000000005,40.80798,43.07509,44.208645,42.394957000000005,50.15,0.5015,-0.28124,0.00146,1.55416,-2.58916,7531.0,373.0,0.0540540540540541,65.22213785003669,65.22213785003669,-0.3499913005385155,-0.146203117084844,cheap,0.4961944176233596,0.647703117084844,0.671614284919947,0.8918670362876504,0.55,0.22906984505292682,0.8455598455598454,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-26JUN26-2500-C,call,2026-06-26,2500.0,43.049874001041665,2267.11,2267.11,0.1027254963367458,0.1027254963367458,78.66871700000002,77.08174000000001,79.34885000000001,78.21529500000001,78.66871700000002,51.74,0.5174,0.32688,0.00089,2.81536,-1.69186,66557.0,47.0,0.0289855072463768,118.07595713957517,118.07595713957517,-0.333744829127175,-0.130303117084844,cheap,0.464047946212019,0.647703117084844,0.7397880188012177,0.895585640156318,0.55,0.22906984505292682,0.917184265010352,1.0,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2225-C,call,2026-05-17,2225.0,3.049874001041667,2267.11,2267.11,-0.0185743082602961,0.0185743082602961,59.39828200000001,56.67775,66.879745,55.544195,59.39828200000001,41.6,0.416,0.69569,0.00406,0.72519,-4.94559,52.0,52.0,0.165137614678899,77.19248765539328,77.19248765539328,-0.2305173235876409,-0.2317031170848439,cheap,0.4622204406724848,0.647703117084844,0.44312670937482346,0.32834569517831885,0.55,0.22906984505292682,0.5281782437745742,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2200-P,put,2026-05-29,2200.0,15.049874001041667,2267.11,2267.11,-0.0296015632236636,0.0296015632236636,59.17157100000001,57.811305,60.078415,63.47908,59.17157100000001,49.38,0.4938,-0.36044,0.00165,1.72429,-2.82866,13493.0,267.0,0.0384615384615385,85.02290481585692,85.02290481585692,-0.3040514067573423,-0.1539031170848439,cheap,0.4579545238421862,0.647703117084844,0.6532788395550164,0.7917952280979011,0.55,0.22906984505292682,0.8901098901098901,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2300-C,call,2026-05-29,2300.0,15.049874001041667,2267.11,2267.11,0.0145074566298062,0.0145074566298062,74.81463000000001,73.681075,75.94818500000001,66.879745,74.81463000000001,48.47,0.4846999999999999,0.46429,0.00178,1.83054,-2.94787,10144.0,930.0,0.0303030303030303,105.64243966042204,105.64243966042204,-0.2918127388908776,-0.163003117084844,cheap,0.4548158559757216,0.647703117084844,0.6521126915118707,0.7731446219393041,0.55,0.22906984505292682,0.9134199134199135,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-22MAY26-2250-C,call,2026-05-22,2250.0,8.049874001041667,2267.11,2267.11,-0.0075470532969287,0.0075470532969287,71.187254,69.146855,72.54752,72.54752,71.187254,46.1,0.461,0.56057,0.00254,1.32835,-3.80336,239.0,389.0,0.048,96.47906457600038,96.47906457600038,-0.2621481736701233,-0.1867031170848439,cheap,0.4488512907549672,0.647703117084844,0.5911574825879552,0.652994781914638,0.55,0.22906984505292682,0.8628571428571429,0.2016624667013889,1.0,,accepted_dynamic_mci,accept
ETH-22MAY26-2300-P,put,2026-05-22,2300.0,8.049874001041667,2267.11,2267.11,0.0145074566298062,0.0145074566298062,79.122139,77.08174000000001,80.482405,83.88307,79.122139,45.91,0.4590999999999999,-0.56734,0.00254,1.32468,-3.77729,3721.0,43.0,0.0431654676258991,103.84974735399489,103.84974735399489,-0.2381094704997725,-0.188603117084844,cheap,0.4267125875846165,0.647703117084844,0.5784761889565126,0.5939818376046946,0.55,0.22906984505292682,0.8766700924974311,0.2016624667013889,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2250-P,put,2026-05-29,2250.0,15.049874001041667,2267.11,2267.11,-0.0075470532969287,0.0075470532969287,80.255694,78.21529500000001,80.482405,87.28373500000001,80.255694,48.86,0.4886,-0.44694,0.00176,1.82163,-2.957,21155.0,7154.0,0.0285714285714284,108.204032147877,108.204032147877,-0.2582929452174334,-0.1591031170848439,cheap,0.4173960623022774,0.647703117084844,0.6297778976387551,0.6808369863355244,0.55,0.22906984505292682,0.918367346938776,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-26JUN26-2400-C,call,2026-06-26,2400.0,43.049874001041665,2267.11,2267.11,0.0586164764832759,0.0586164764832759,109.047991,108.82128,109.954835,99.75284,109.047991,51.75,0.5175,0.41343,0.00096,3.0397,-1.827,15346.0,170.0,0.0103626943005181,150.99464133289973,150.99464133289973,-0.2778022449182116,-0.130203117084844,cheap,0.4080053620030556,0.647703117084844,0.7171216421016839,0.7729953111652826,0.55,0.22906984505292682,0.9703923019985197,1.0,1.0,,accepted_dynamic_mci,accept
