instrument_name,option_type,expiry,strike,days_to_expiry,market_price_usd,model_price_usd,price_diff_pct,volatility_spread,classification,mci,edge_score,regime_score,vol_score,liquidity_score,greek_score,bid_ask_spread_pct,delta,gamma,vega,theta,decision_reason
ETH-14MAY26-2350-C,call,14MAY26,2350.0,3.6567652317361112,39.88353000000001,58.25891589414164,-0.3154089912611884,-0.1896014023408799,cheap,0.6681157630825002,0.8226550732331918,0.55,0.4244536002753707,0.6805539685399035,0.6547817943814259,0.0588235294117647,0.49411,0.00379,0.93674,-5.73366,accepted_dynamic_mci
ETH-29MAY26-2300-C,call,29MAY26,2300.0,18.656504731655097,132.07106249999998,161.29107995826075,-0.1811632575454413,-0.1295014023408799,cheap,0.6660891683104296,0.6005505797024437,0.55,0.4244536002753707,0.9511111111111112,0.7839413666307778,0.0266666666666666,0.5937,0.00144,2.059,-2.80193,accepted_dynamic_mci
ETH-15MAY26-2400-C,call,15MAY26,2400.0,4.656660018125,26.98222,45.06205552756285,-0.4012208346000563,-0.1774014023408799,cheap,0.66033437884855,0.767873248851265,0.55,0.4244536002753707,0.7127031545893721,0.6656987339225371,0.0869565217391304,0.34097,0.00301,0.97213,-4.79997,accepted_dynamic_mci
ETH-22MAY26-2500-C,call,22MAY26,2500.0,11.65655326931713,29.335375,50.84324213625723,-0.4230231242653108,-0.1423014023408799,cheap,0.6566555724350109,0.7128091908802506,0.55,0.4244536002753707,0.7385298611111113,0.7278307549320742,0.0799999999999999,0.25127,0.00153,1.33629,-2.83745,accepted_dynamic_mci
ETH-14MAY26-2375-C,call,14MAY26,2375.0,3.656756781469907,29.326,47.09787373278368,-0.3773391944106621,-0.19070140234088,cheap,0.6558750781409974,0.7999291908802508,0.55,0.4244536002753707,0.6364258345862067,0.6553818517792963,0.0799999999999999,0.40062,0.00369,0.90762,-5.54162,accepted_dynamic_mci
ETH-22MAY26-2300-C,call,22MAY26,2300.0,11.65658490201389,106.78213,132.20226571396233,-0.1922821486960161,-0.1502014023408799,cheap,0.655446115032219,0.642101200062768,0.55,0.4244536002753707,0.9194139194139196,0.6211800704936482,0.0439560439560439,0.60843,0.00188,1.61099,-3.36575,accepted_dynamic_mci
ETH-15MAY26-2300-C,call,15MAY26,2300.0,4.656676342372685,75.08096,93.07734201228868,-0.1933486885552949,-0.1704014023408799,cheap,0.6485397964738675,0.6591729723685661,0.55,0.4244536002753707,0.8854166666666667,0.5604333332665185,0.0625,0.65693,0.00297,0.9744,-4.88494,accepted_dynamic_mci
ETH-29MAY26-2600-C,call,29MAY26,2600.0,18.656457195844908,29.348875,51.28672975915799,-0.4277491441193064,-0.1292014023408799,cheap,0.6461201049512332,0.6892291908802508,0.55,0.4244536002753707,0.7386048611111116,0.6813135800942963,0.0799999999999998,0.20315,0.00105,1.50009,-2.0427,accepted_dynamic_mci
ETH-14MAY26-2400-C,call,14MAY26,2400.0,3.656748630636574,21.11472,37.54523497303717,-0.4376191808317786,-0.1884014023408799,cheap,0.6325331033508222,0.7594928945839545,0.55,0.4244536002753707,0.5473218107833101,0.6567088803226296,0.1111111111111109,0.31448,0.00337,0.83362,-5.11695,accepted_dynamic_mci
ETH-29MAY26-2250-C,call,29MAY26,2250.0,18.656513147824075,162.5941525,189.43374338729336,-0.1416832630099082,-0.1246014023408799,cheap,0.6263690775248545,0.4938677726308093,0.55,0.4244536002753707,0.9338146811071004,0.6793921214601297,0.0361010830324907,0.66478,0.00134,1.93437,-2.65771,accepted_dynamic_mci
ETH-22MAY26-2600-C,call,22MAY26,2600.0,11.656545553032409,14.6676875,28.817705456532963,-0.4910182033013027,-0.1294014023408799,cheap,0.6223374498982078,0.6895891908802506,0.55,0.4244536002753707,0.6570427083333336,0.5649302587307103,0.0799999999999999,0.13934,0.00104,0.93046,-2.02723,accepted_dynamic_mci
ETH-15MAY26-2450-C,call,15MAY26,2450.0,4.656650441053241,15.25082,29.38586729600297,-0.4810151476429488,-0.1676014023408799,cheap,0.5980234577845793,0.6721953447264045,0.55,0.4244536002753707,0.524897717948718,0.563492438555963,0.1538461538461538,0.2151,0.00235,0.77458,-3.90596,accepted_dynamic_mci
ETH-14MAY26-2450-C,call,14MAY26,2450.0,3.6567320630555553,9.9701175,22.805243954765615,-0.5628146964892896,-0.1825014023408799,cheap,0.5953825647162343,0.7412476222527997,0.55,0.4244536002753707,0.3972699287984139,0.5558944977819815,0.1176470588235292,0.17597,0.00242,0.60742,-3.77751,accepted_dynamic_mci
