instrument_name,spot_shock,iv_shock,days_forward,scenario_price,scenario_value,scenario_pnl
ETH-29MAY26-2300-P,0.1,0.0,1,19.132028724686222,12.274861121477016,-45.20754391542063
ETH-29MAY26-2300-P,0.1,0.0,3,15.493844417684045,9.940649326929272,-47.54175570996837
ETH-29MAY26-2300-P,0.1,0.0,7,8.385351742468771,5.379932759599574,-52.10247227729807
ETH-29MAY26-2300-P,0.1,0.1,0,34.51002209686959,22.14118192241658,-35.34122311448107
ETH-29MAY26-2300-P,0.1,0.1,1,31.938429196560946,20.491281320316023,-36.991123716581626
ETH-29MAY26-2300-P,0.1,0.1,3,26.70454196975578,17.13328725920479,-40.349117777692854
ETH-29MAY26-2300-P,0.1,0.1,7,15.987688232397488,10.257493103851175,-47.22491193304647
ETH-29MAY26-2300-P,0.1,0.2,0,49.73628343881683,31.9101534236227,-25.572251613274947
ETH-29MAY26-2300-P,0.1,0.2,1,46.42464999895583,29.78545242382323,-27.696952613074416
ETH-29MAY26-2300-P,0.1,0.2,3,39.61968845081901,25.419477485023812,-32.062927551873834
ETH-29MAY26-2300-P,0.1,0.2,7,25.291465890026927,16.226676001070306,-41.25572903582734
ETH-29MAY26-2300-P,0.2,-0.1,0,0.6637594935568814,0.42585946941213687,-57.05654556748551
ETH-29MAY26-2300-P,0.2,-0.1,1,0.5141126428852054,0.32984799380259683,-57.15255704309505
ETH-29MAY26-2300-P,0.2,-0.1,3,0.2789072389865268,0.1789432617732161,-57.30346177512443
ETH-29MAY26-2300-P,0.2,-0.1,7,0.041171392587147526,0.026415030703615706,-57.45599000619403
ETH-29MAY26-2300-P,0.2,0.0,0,3.2104780770923185,2.059801032966571,-55.42260400393108
ETH-29MAY26-2300-P,0.2,0.0,1,2.6695565593784636,1.7127528132976957,-55.76965222359995
ETH-29MAY26-2300-P,0.2,0.0,3,1.7221340537067107,1.1048988398465207,-56.377506197051126
ETH-29MAY26-2300-P,0.2,0.0,7,0.44796758532191205,0.28741018403630164,-57.19499485286134
ETH-29MAY26-2300-P,0.2,0.1,0,8.412779841208334,5.397530271483919,-52.08487476541373
ETH-29MAY26-2300-P,0.2,0.1,1,7.273539397417153,4.666608400482184,-52.81579663641546
ETH-29MAY26-2300-P,0.2,0.1,3,5.159170219253156,3.310056599574295,-54.17234843732335
ETH-29MAY26-2300-P,0.2,0.1,7,1.8262060716898247,1.1716700947802043,-56.31073494211744
ETH-29MAY26-2300-P,0.2,0.2,0,16.228985503940123,10.412306299032897,-47.07009873786475
ETH-29MAY26-2300-P,0.2,0.2,1,14.373470663112556,9.221832078669136,-48.26057295822851
ETH-29MAY26-2300-P,0.2,0.2,3,10.808806343603749,6.93478975313695,-50.5476152837607
ETH-29MAY26-2300-P,0.2,0.2,7,4.619308076020886,2.9636880608124585,-54.51871697608519
ETH-29MAY26-2350-C,-0.2,-0.1,0,0.050701950752965796,0.04984313806075539,-70.59249550756239
ETH-29MAY26-2350-C,-0.2,-0.1,1,0.03399324169887308,0.03341744871681192,-70.60892119690632
ETH-29MAY26-2350-C,-0.2,-0.1,3,0.012959565565046849,0.012740050551768111,-70.62959859507137
ETH-29MAY26-2350-C,-0.2,-0.1,7,0.0006007930156423716,0.0005906165104081059,-70.64174802911273
ETH-29MAY26-2350-C,-0.2,0.0,0,0.5361716974807322,0.5270897775119326,-70.11524886811121
ETH-29MAY26-2350-C,-0.2,0.0,1,0.40640591522179825,0.399522027067624,-70.24281661855552
ETH-29MAY26-2350-C,-0.2,0.0,3,0.2092209482125078,0.20567706867468374,-70.43666157694845
ETH-29MAY26-2350-C,-0.2,0.0,7,0.026078489003269256,0.025636759700607917,-70.61670188592254
ETH-29MAY26-2350-C,-0.2,0.1,0,2.1449352576046152,2.108603369070865,-68.53373527655228
ETH-29MAY26-2350-C,-0.2,0.1,1,1.737061199295141,1.7076380669906381,-68.9347005786325
ETH-29MAY26-2350-C,-0.2,0.1,3,1.0511194326710296,1.0333150938556424,-69.60902355176749
ETH-29MAY26-2350-C,-0.2,0.1,7,0.22243867107466553,0.2186709037378996,-70.42366774188524
ETH-29MAY26-2350-C,-0.2,0.2,0,5.355831753557055,5.265112240422163,-65.37722640520097
ETH-29MAY26-2350-C,-0.2,0.2,1,4.5153438719258645,4.438860924636551,-66.20347772098658
ETH-29MAY26-2350-C,-0.2,0.2,3,3.013437853556688,2.962394873210012,-67.67994377241313
ETH-29MAY26-2350-C,-0.2,0.2,7,0.877253489974791,0.8623941715405361,-69.77994447408261
ETH-29MAY26-2350-C,-0.1,-0.1,0,4.364573171918323,4.290644047289815,-66.35169459833332
ETH-29MAY26-2350-C,-0.1,-0.1,1,3.734843758146752,3.671581276619222,-66.97075736900392
ETH-29MAY26-2350-C,-0.1,-0.1,3,2.584840361584611,2.5410571604079433,-68.1012814852152
ETH-29MAY26-2350-C,-0.1,-0.1,7,0.8474466093369557,0.8330921733978872,-69.80924647222525
ETH-29MAY26-2350-C,-0.1,0.0,0,11.412591500653406,11.219279837369909,-59.42305880825323
ETH-29MAY26-2350-C,-0.1,0.0,1,10.131124692265473,9.959519096368851,-60.68281954925429
ETH-29MAY26-2350-C,-0.1,0.0,3,7.6641976964023115,7.534378031487445,-63.1079606141357
ETH-29MAY26-2350-C,-0.1,0.0,7,3.3466679651728555,3.2899805817010015,-67.35235806392214
ETH-29MAY26-2350-C,-0.1,0.1,0,21.216975937781285,20.857593153586862,-49.78474549203628
ETH-29MAY26-2350-C,-0.1,0.1,1,19.228186160685198,18.902490401888087,-51.739848243735054
ETH-29MAY26-2350-C,-0.1,0.1,3,15.290807476931946,15.031804828309657,-55.61053381731348
ETH-29MAY26-2350-C,-0.1,0.1,7,7.8292329658467565,7.696617858508938,-62.945720787114205
ETH-29MAY26-2350-C,-0.1,0.2,0,33.015972526821656,32.456732974287355,-38.185605671335786
ETH-29MAY26-2350-C,-0.1,0.2,1,30.314862352375656,29.801375431967394,-40.84096321365575
ETH-29MAY26-2350-C,-0.1,0.2,3,24.877361665569367,24.455977603816084,-46.18636104180706
