instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct
ETH-17MAY26-2200-C,call,2026-05-17,2200.0,3.049874001041667,2267.11,2267.11,-0.029601563223663696,0.029601563223663696,78.66871700000002,75.94818500000001,86.15018,80.482405,78.66871700000002,42.95,0.42950000000000005,0.78374,0.00329,0.60758,-4.27776,118.0,118.0,0.12587412587412583
ETH-17MAY26-2200-P,put,2026-05-17,2200.0,3.049874001041667,2267.11,2267.11,-0.029601563223663696,0.029601563223663696,11.108839,10.201995,11.335550000000001,14.962926000000001,11.108839,42.95,0.42950000000000005,-0.21626,0.00329,0.60758,-4.27776,1074.0,1084.0,0.10526315789473695
ETH-17MAY26-2350-C,call,2026-05-17,2350.0,3.049874001041667,2267.11,2267.11,0.03656196655654109,0.03656196655654109,8.615018000000001,8.161596,9.295151,5.894486,8.615018000000001,42.27,0.4227,0.18139,0.00301,0.54643,-3.78674,1235.0,1252.0,0.12987012987013
ETH-17MAY26-2350-P,put,2026-05-17,2350.0,3.049874001041667,2267.11,2267.11,0.03656196655654109,0.03656196655654109,91.137822,82.749515,97.48573,,91.137822,42.27,0.4227,-0.81861,0.00301,0.54643,-3.78674,0.0,0.0,0.16352201257861634
ETH-17MAY26-2175-C,call,2026-05-17,2175.0,3.049874001041667,2267.11,2267.11,-0.040628818187031124,0.040628818187031124,99.75284,96.35217500000002,108.82128,,99.75284,44.61,0.4461,0.85021,0.00252,0.48276,-3.53079,0.0,0.0,0.1215469613259667
ETH-17MAY26-2175-P,put,2026-05-17,2175.0,3.049874001041667,2267.11,2267.11,-0.040628818187031124,0.040628818187031124,7.254752000000001,6.574619,7.254752000000001,9.521862,7.254752000000001,44.61,0.4461,-0.14979,0.00252,0.48276,-3.53079,387.0,387.0,0.09836065573770499
ETH-17MAY26-2375-C,call,2026-05-17,2375.0,3.049874001041667,2267.11,2267.11,0.04758922151990852,0.04758922151990852,5.441064,4.987642000000001,6.121197,13.60266,5.441064,43.45,0.43450000000000005,0.12491,0.00228,0.42639,-3.03714,166.0,166.0,0.2040816326530611
ETH-17MAY26-2375-P,put,2026-05-17,2375.0,3.049874001041667,2267.11,2267.11,0.04758922151990852,0.04758922151990852,113.12878900000001,28.338875,213.10834,,113.12878900000001,43.45,0.43450000000000005,-0.87509,0.00228,0.42639,-3.03714,0.0,0.0,1.5305164319248825
ETH-17MAY26-2150-C,call,2026-05-17,2150.0,3.049874001041667,2267.11,2267.11,-0.05165607315039855,0.05165607315039855,122.19722900000002,117.88972,132.62593500000003,,122.19722900000002,46.8,0.46799999999999997,0.89634,0.00186,0.37334,-2.86447,0.0,0.0,0.11764705882352963
ETH-17MAY26-2150-P,put,2026-05-17,2150.0,3.049874001041667,2267.11,2267.11,-0.05165607315039855,0.05165607315039855,4.760931,4.3075090000000005,5.214353,7.934885,4.760931,46.8,0.46799999999999997,-0.10366,0.00186,0.37334,-2.86447,109.0,109.0,0.19047619047619038
ETH-17MAY26-2400-C,call,2026-05-17,2400.0,3.049874001041667,2267.11,2267.11,0.05861647648327595,0.05861647648327595,3.6273760000000004,3.400665,4.080798,6.347908,3.6273760000000004,45.01,0.4501,0.08628,0.00169,0.32611,-2.4062,43.0,43.0,0.18181818181818174
ETH-17MAY26-2400-P,put,2026-05-17,2400.0,3.049874001041667,2267.11,2267.11,0.05861647648327595,0.05861647648327595,136.253311,45.342200000000005,238.04655,,136.253311,45.01,0.4501,-0.91372,0.00169,0.32611,-2.4062,0.0,0.0,1.3599999999999997
ETH-17MAY26-2125-C,call,2026-05-17,2125.0,3.049874001041667,2267.11,2267.11,-0.06268332811376609,0.06268332811376609,145.775173,141.694375,156.43059000000002,,145.775173,49.43,0.4943,0.92718,0.00135,0.28681,-2.32416,0.0,0.0,0.09885931558935371
ETH-17MAY26-2125-P,put,2026-05-17,2125.0,3.049874001041667,2267.11,2267.11,-0.06268332811376609,0.06268332811376609,3.400665,2.947243,3.6273760000000004,2.947243,3.400665,49.43,0.4943,-0.07283,0.00135,0.28684,-2.32438,52.0,52.0,0.2068965517241381
