instrument_name,option_type,strike,days_to_expiry,spot_price,market_price_usd,model_price_usd,price_diff_usd,price_diff_pct,implied_volatility,historical_volatility,volatility_spread,classification
ETH-29MAY26-2500-P,put,2500.0,25.55255505611111,2331.33,234.998064,255.90231365858517,-20.904249658585172,-0.08168839648114633,0.5262,0.6389011887831876,-0.11270118878318758,neutral
ETH-6MAY26-2425-P,put,2425.0,2.552822070763889,2330.33,102.068454,110.93464419731299,-8.866190197312989,-0.07992264509852497,0.4546,0.6389011887831876,-0.18430118878318758,neutral
ETH-22MAY26-2150-C,call,2150.0,18.55264907040509,2330.77,222.588535,241.67218429347008,-19.083649293470074,-0.07896502176806662,0.5421,0.6389011887831876,-0.09680118878318755,neutral
ETH-6MAY26-2225-C,call,2225.0,2.552871210763889,2330.33,109.991576,118.8330629476136,-8.841486947613603,-0.07440258399727766,0.4686999999999999,0.6389011887831876,-0.17020118878318768,neutral
ETH-8MAY26-2200-C,call,2200.0,4.552755958703703,2329.72,139.7832,149.88787358257036,-10.10467358257037,-0.06741488381315851,0.5015,0.6389011887831876,-0.13740118878318763,neutral
ETH-15MAY26-2150-C,call,2150.0,11.552702335844907,2330.24,203.429952,218.07827269300424,-14.648320693004251,-0.06717001428943434,0.5304,0.6389011887831876,-0.1085011887831876,neutral
ETH-29MAY26-2550-P,put,2550.0,25.55254906252315,2331.3,271.82958,291.0873079023638,-19.257727902363797,-0.06615790994509181,0.5262,0.6389011887831876,-0.11270118878318758,neutral
ETH-22MAY26-2100-C,call,2100.0,18.55265445693287,2330.77,262.211625,277.606275861363,-15.394650861362948,-0.05545498138900527,0.555,0.6389011887831876,-0.08390118878318753,neutral
ETH-5MAY26-2425-P,put,2425.0,1.5528755947800923,2330.33,98.339926,103.30012888563988,-4.960202885639873,-0.04801739299987852,0.4627,0.6389011887831876,-0.17620118878318758,neutral
ETH-8MAY26-2500-P,put,2500.0,4.552716333229166,2329.72,175.89386,183.87966006130569,-7.985800061305696,-0.043429491106537946,0.4789,0.6389011887831876,-0.1600011887831876,neutral
ETH-5MAY26-2225-C,call,2225.0,1.5529287763310184,2330.34,107.19564,112.04967116450871,-4.8540311645087115,-0.04332035171600045,0.4889,0.6389011887831876,-0.15000118878318758,neutral
ETH-15MAY26-2100-C,call,2100.0,11.5527081725,2330.24,246.306368,256.91173771889885,-10.605369718898856,-0.04128020701997964,0.5506,0.6389011887831876,-0.0883011887831876,neutral
ETH-8MAY26-2150-C,call,2150.0,4.552761295648148,2329.73,185.213535,191.07543376379454,-5.861898763794528,-0.030678453259674117,0.5323,0.6389011887831876,-0.10660118878318758,neutral
ETH-8MAY26-2550-P,put,2550.0,4.552710845312499,2329.73,223.421107,227.62437557482417,-4.203268574824165,-0.018465810457292064,0.5006,0.6389011887831876,-0.13830118878318753,neutral
