instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,raw_reject_reason,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used
ETH-17MAY26-2475-P,put,2026-05-17,2475.0,3.049874001041667,2267.11,2267.11,0.09169824137337845,0.09169824137337845,209.027542,112.221945,313.99473500000005,,209.027542,52.04,0.5204,-0.96567,0.00071,0.1576,-1.34455,0.0,0.0,0.946808510638298,spread_too_wide,,,,,,,
ETH-17MAY26-2050-C,call,2026-05-17,2050.0,3.049874001041667,2267.11,2267.11,-0.09576509300386837,0.09576509300386837,218.776115,214.241895,227.844555,,218.776115,58.58,0.5858,0.9717,0.00053,0.13435,-1.29025,0.0,0.0,0.061538461538461604,classification_neutral,220.09483306930952,220.09483306930952,-0.005991590310955811,-0.06190311708484397,neutral,0.06789470739579978,0.647703117084844
ETH-17MAY26-2050-P,put,2026-05-17,2050.0,3.049874001041667,2267.11,2267.11,-0.09576509300386837,0.09576509300386837,1.360266,0.9068440000000001,1.586977,1.8136880000000002,1.360266,58.58,0.5858,-0.02837,0.00054,0.13463,-1.29292,500.0,501.0,0.5454545454545454,market_price_below_minimum,,,,,,,
ETH-17MAY26-2500-C,call,2026-05-17,2500.0,3.049874001041667,2267.11,2267.11,0.10272549633674588,0.10272549633674588,0.9068440000000001,0.680133,1.133555,0.9068440000000001,0.9068440000000001,53.31,0.5331,0.02365,0.0005,0.1156,-0.97545,11.0,11.0,0.5000000000000001,market_price_below_minimum,,,,,,,
ETH-17MAY26-2500-P,put,2026-05-17,2500.0,3.049874001041667,2267.11,2267.11,0.10272549633674588,0.10272549633674588,233.51233,137.160155,340.0665,,233.51233,53.31,0.5331,-0.97635,0.0005,0.1156,-1.01027,0.0,0.0,0.850356294536817,spread_too_wide,,,,,,,
ETH-17MAY26-2000-C,call,2026-05-17,2000.0,3.049874001041667,2267.11,2267.11,-0.11781960293060334,0.11781960293060334,268.199113,262.98476000000005,277.720975,,268.199113,66.33,0.6633,0.98199,0.00032,0.09177,-0.99777,0.0,0.0,0.0545073375262053,classification_neutral,268.54317930544835,268.54317930544835,-0.001281232710278544,0.01559688291515604,neutral,0.016878115625434585,0.647703117084844
ETH-17MAY26-2000-P,put,2026-05-17,2000.0,3.049874001041667,2267.11,2267.11,-0.11781960293060334,0.11781960293060334,0.9068440000000001,0.680133,1.133555,1.133555,0.9068440000000001,66.33,0.6633,-0.01801,0.00032,0.09177,-0.90634,1965.0,1965.0,0.5000000000000001,market_price_below_minimum,,,,,,,
ETH-17MAY26-2550-C,call,2026-05-17,2550.0,3.049874001041667,2267.11,2267.11,0.12478000626348074,0.12478000626348074,0.45342200000000005,0.22671100000000002,0.9068440000000001,,0.45342200000000005,57.45,0.5745,0.01341,0.00029,0.07124,-0.55587,0.0,0.0,1.2000000000000002,market_price_below_minimum,,,,,,,
ETH-17MAY26-2550-P,put,2026-05-17,2550.0,3.049874001041667,2267.11,2267.11,0.12478000626348074,0.12478000626348074,283.162039,184.76946500000003,392.21003,,283.162039,57.45,0.5745,-0.98659,0.00029,0.07124,-0.6709,0.0,0.0,0.7190569744597248,spread_too_wide,,,,,,,
ETH-17MAY26-2600-C,call,2026-05-17,2600.0,3.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,0.45342200000000005,,0.680133,0.680133,0.45342200000000005,63.32,0.6332,0.00966,0.0002,0.05361,-0.42527,132.0,132.0,,market_price_below_minimum,,,,,,,
ETH-17MAY26-2600-P,put,2026-05-17,2600.0,3.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,333.03845900000005,231.24522,444.35356,,333.03845900000005,63.32,0.6332,-0.99034,0.0002,0.05361,-0.55649,0.0,0.0,0.6308724832214766,spread_too_wide,,,,,,,
ETH-17MAY26-1900-C,call,2026-05-17,1900.0,3.049874001041667,2267.11,2267.11,-0.16192862278407316,0.16192862278407316,367.951953,363.87115500000004,376.34026000000006,,367.951953,82.96,0.8295999999999999,0.99102,0.00014,0.05026,-0.68351,0.0,0.0,0.03369065849923433,classification_neutral,367.793675883599,367.793675883599,0.00043034213685361943,0.18189688291515593,neutral,0.18232722505200954,0.647703117084844
ETH-17MAY26-1900-P,put,2026-05-17,1900.0,3.049874001041667,2267.11,2267.11,-0.16192862278407316,0.16192862278407316,0.45342200000000005,0.45342200000000005,0.680133,0.680133,0.45342200000000005,82.96,0.8295999999999999,-0.00898,0.00014,0.05026,-0.52492,80.0,80.0,0.39999999999999986,market_price_below_minimum,,,,,,,
ETH-22MAY26-2100-C,call,2026-05-22,2100.0,8.049874001041667,2267.11,2267.11,-0.07371058307713352,0.07371058307713352,181.142089,177.96813500000002,190.43724000000003,,181.142089,50.48,0.5047999999999999,0.85668,0.00133,0.76175,-2.38818,0.0,0.0,0.06769230769230776,classification_neutral,193.93249028147852,193.93249028147852,-0.06595285433046423,-0.14290311708484404,neutral,0.20885597141530826,0.647703117084844
ETH-22MAY26-2450-P,put,2026-05-22,2450.0,8.049874001041667,2267.11,2267.11,0.08067098641001103,0.08067098641001103,193.611194,181.36880000000002,286.789415,145.09504,193.611194,47.98,0.47979999999999995,-0.85227,0.00143,0.77744,-2.31692,95.0,0.0,0.4503631961259079,spread_too_wide,,,,,,,
ETH-22MAY26-2500-P,put,2026-05-22,2500.0,8.049874001041667,2267.11,2267.11,0.10272549633674588,0.10272549633674588,239.180105,225.577445,349.13494000000003,265.25187000000005,239.180105,49.4,0.494,-0.9014,0.00104,0.58511,-1.7952,18.0,0.0,0.4299802761341223,spread_too_wide,,,,,,,
ETH-22MAY26-2000-C,call,2026-05-22,2000.0,8.049874001041667,2267.11,2267.11,-0.11781960293060334,0.11781960293060334,273.413466,270.919645,283.38875,330.99806,273.413466,56.7,0.5670000000000001,0.93781,0.00064,0.41265,-1.4533,5.0,0.0,0.04498977505112479,classification_neutral,277.94365979645227,277.94365979645227,-0.016298964328849433,-0.0807031170848439,neutral,0.09700208141369333,0.647703117084844
