instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,market_price_usd,implied_volatility,moneyness,abs_moneyness,term_bucket,same_expiry_iv_zscore,same_expiry_iv_percentile,surface_iv_zscore,surface_iv_percentile,surface_relative_value_score,bid_ask_spread_pct,delta,gamma,vega,theta,open_interest,volume,fitted_iv,surface_residual,surface_residual_zscore
ETH-22MAY26-3000-P,put,2026-05-22,3000.0,8.946986305960648,2320.35,678.702375,0.6503,0.2929083974400415,0.2929083974400415,front_month,1.6619335735077347,0.9166666666666666,1.6818481203942557,0.9177631578947368,0.1705849871786584,0.3553299492385785,-0.9932,8e-05,0.06908,-0.25102,0.0,0.0,0.5748731953604146,0.0754268046395854,2.2232669888413796
ETH-29MAY26-2300-C,call,2026-05-29,2300.0,15.946986305960648,2320.35,103.255575,0.4755,-0.0087702286293015,0.0087702286293015,front_month,-0.8114378922324631,0.19,-0.5737235110718313,0.3256578947368421,0.716715155370682,0.0224719101123596,0.55852,0.00171,1.91574,-2.85611,10108.0,480.0,0.4876291315201149,-0.01212913152011491,-0.35751610903896786
ETH-29MAY26-2300-P,put,2026-05-29,2300.0,15.946986305960648,2320.35,80.74817999999999,0.4755,-0.0087702286293015,0.0087702286293015,front_month,-0.8114378922324631,0.19,-0.5737235110718313,0.3256578947368421,0.7048902653629452,0.0431654676258991,-0.44148,0.00171,1.91574,-2.85611,18200.0,489.0,0.4876291315201149,-0.01212913152011491,-0.35751610903896786
ETH-29MAY26-2350-C,call,2026-05-29,2350.0,15.946986305960648,2320.35,78.8919,0.4725999999999999,0.0127782446613657,0.0127782446613657,front_month,-0.8455952673627278,0.15,-0.6111443218913496,0.3125,0.7290663218695971,0.0294117647058824,0.47202,0.00173,1.93185,-2.8627,9150.0,184.0,0.48238677889851167,-0.009786778898511761,-0.28847334254872126
ETH-29MAY26-2350-P,put,2026-05-29,2350.0,15.946986305960648,2320.35,106.504065,0.4725999999999999,0.0127782446613657,0.0127782446613657,front_month,-0.8455952673627278,0.15,-0.6111443218913496,0.3125,0.7334506843102255,0.0217391304347825,-0.52798,0.00173,1.93185,-2.8627,17052.0,86.0,0.48238677889851167,-0.009786778898511761,-0.28847334254872126
ETH-29MAY26-2250-C,call,2026-05-29,2250.0,15.946986305960648,2320.35,132.02791499999998,0.4799,-0.0303187019199688,0.0303187019199688,front_month,-0.7596129092762004,0.27,-0.516947108449115,0.3651315789473684,0.677411346427714,0.0264317180616742,0.64273,0.0016,1.81129,-2.72561,15416.0,406.0,0.4947301337014292,-0.014830133701429216,-0.43713036573721714
ETH-29MAY26-2250-P,put,2026-05-29,2250.0,15.946986305960648,2320.35,59.632995,0.4799,-0.0303187019199688,0.0303187019199688,front_month,-0.7596129092762004,0.27,-0.516947108449115,0.3651315789473684,0.670106221734665,0.0392156862745097,-0.35727,0.0016,1.81129,-2.72561,16348.0,824.0,0.4947301337014292,-0.014830133701429216,-0.43713036573721714
ETH-29MAY26-2400-C,call,2026-05-29,2400.0,15.946986305960648,2320.35,58.93689,0.4702,0.0343267179520332,0.0343267179520332,front_month,-0.8738634398843245,0.03,-0.6421132687764662,0.2598684210526316,0.7637351318888648,0.0392156862745097,0.3877,0.00168,1.85935,-2.74138,16885.0,2950.0,0.47900307583661916,-0.008803075836619156,-0.2594778872224828
ETH-29MAY26-2400-P,put,2026-05-29,2400.0,15.946986305960648,2320.35,136.43658,0.4702,0.0343267179520332,0.0343267179520332,front_month,-0.8738634398843245,0.03,-0.6421132687764662,0.2598684210526316,0.7715544298208035,0.025531914893617,-0.61227,0.00168,1.85941,-2.74147,7475.0,2032.0,0.47900307583661916,-0.008803075836619156,-0.2594778872224828
ETH-29MAY26-2200-C,call,2026-05-29,2200.0,15.946986305960648,2320.35,165.440955,0.4868,-0.0518671752106363,0.0518671752106363,front_month,-0.6783419132766068,0.35,-0.4279113861544008,0.3914473684210526,0.6208178151693743,0.0559440559440557,0.72003,0.00142,1.63399,-2.49372,11649.0,3.0,0.5036897854424545,-0.016889785442454452,-0.49784029168743904
ETH-29MAY26-2200-P,put,2026-05-29,2200.0,15.946986305960648,2320.35,43.15850999999999,0.4868,-0.0518671752106363,0.0518671752106363,front_month,-0.6783419132766068,0.35,-0.4279113861544008,0.3914473684210526,0.6218978162493752,0.0540540540540541,-0.27995,0.00142,1.63395,-2.49366,13452.0,879.0,0.5036897854424545,-0.016889785442454452,-0.49784029168743904
ETH-29MAY26-2450-C,call,2026-05-29,2450.0,15.946986305960648,2320.35,43.390545,0.4713,0.0558751912427004,0.0558751912427004,front_month,-0.860907194145259,0.07,-0.6279191681207874,0.2861842105263157,0.735763528206828,0.0540540540540541,0.31077,0.00154,1.71442,-2.53358,7186.0,1647.0,0.4774780223344378,-0.006178022334437816,-0.1821022801922032
ETH-29MAY26-2450-P,put,2026-05-29,2450.0,15.946986305960648,2320.35,170.77776,0.4713,0.0558751912427004,0.0558751912427004,front_month,-0.860907194145259,0.07,-0.6279191681207874,0.2861842105263157,0.7434855359288357,0.0405405405405405,-0.68923,0.00154,1.71442,-2.53358,2111.0,0.0,0.4774780223344378,-0.006178022334437816,-0.1821022801922032
ETH-29MAY26-2150-C,call,2026-05-29,2150.0,15.946986305960648,2320.35,203.030625,0.4968,-0.0734156485013036,0.0734156485013036,front_month,-0.5605578611032828,0.47,-0.2988741074664094,0.4703947368421052,0.5664190166179108,0.0512820512820511,0.78659,0.00121,1.4123,-2.19997,13116.0,50.0,0.5145080867431907,-0.017708086743190687,-0.5219603943160215
ETH-29MAY26-2150-P,put,2026-05-29,2150.0,15.946986305960648,2320.35,30.860655,0.4968,-0.0734156485013036,0.0734156485013036,front_month,-0.5605578611032828,0.47,-0.2988741074664094,0.4703947368421052,0.5517670019658962,0.0769230769230768,-0.21341,0.00121,1.4123,-2.19997,7413.0,158.0,0.5145080867431907,-0.017708086743190687,-0.5219603943160215
ETH-29MAY26-2500-C,call,2026-05-29,2500.0,15.946986305960648,2320.35,31.324724999999997,0.4725,0.0774236645333679,0.0774236645333679,front_month,-0.8467731078844604,0.11,-0.6124346946782288,0.2993421052631579,0.7047234493218032,0.074074074074074,0.24299,0.00136,1.51927,-2.25089,25111.0,540.0,0.4778116183919674,-0.005311618391967421,-0.156564312708353
ETH-29MAY26-2500-P,put,2026-05-29,2500.0,15.946986305960648,2320.35,208.8315,0.4725,0.0774236645333679,0.0774236645333679,front_month,-0.8467731078844604,0.11,-0.6124346946782288,0.2993421052631579,0.7028525966222211,0.0773480662983426,-0.7569,0.00136,1.51969,-2.25151,762.0,0.0,0.4778116183919674,-0.005311618391967421,-0.156564312708353
