instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,market_price_usd,implied_volatility,moneyness,abs_moneyness,term_bucket,same_expiry_iv_zscore,same_expiry_iv_percentile,surface_iv_zscore,surface_iv_percentile,surface_relative_value_score,bid_ask_spread_pct,delta,gamma,vega,theta,open_interest,volume
ETH-17MAY26-1900-P,put,2026-05-17,1900.0,3.049874001041667,2267.11,0.453422,0.8295999999999999,-0.1619286227840731,0.1619286227840731,front_week,3.244415897782328,0.9891304347826086,3.0115719769020153,0.984375,0.17141862326927237,0.3999999999999998,-0.00898,0.00014,0.05026,-0.52492,80.0,80.0
ETH-22MAY26-2250-C,call,2026-05-22,2250.0,8.049874001041667,2267.11,71.187254,0.461,-0.0075470532969287,0.0075470532969287,front_month,-0.8245266611734622,0.11666666666666667,-0.8509190287603161,0.146875,0.7511386036420692,0.048,0.56057,0.00254,1.32835,-3.80336,239.0,389.0
ETH-22MAY26-2250-P,put,2026-05-22,2250.0,8.049874001041667,2267.11,53.050374000000005,0.461,-0.0075470532969287,0.0075470532969287,front_month,-0.8245266611734622,0.11666666666666667,-0.8509190287603161,0.146875,0.7662783885883058,0.0215053763440859,-0.43943,0.00254,1.32835,-3.80336,3357.0,383.0
ETH-22MAY26-2300-C,call,2026-05-22,2300.0,8.049874001041667,2267.11,47.60931000000001,0.4590999999999999,0.0145074566298062,0.0145074566298062,front_month,-0.8447130797315286,0.05,-0.8708287762121851,0.134375,0.7749566890046461,0.0476190476190475,0.43266,0.00254,1.32468,-3.77729,1773.0,1373.0
ETH-22MAY26-2300-P,put,2026-05-22,2300.0,8.049874001041667,2267.11,79.122139,0.4590999999999999,0.0145074566298062,0.0145074566298062,front_month,-0.8447130797315286,0.05,-0.8708287762121851,0.134375,0.7775015918578738,0.0431654676258991,-0.56734,0.00254,1.32468,-3.77729,3721.0,43.0
ETH-22MAY26-2200-C,call,2026-05-22,2200.0,8.049874001041667,2267.11,102.01995,0.4685,-0.0296015632236636,0.0296015632236636,front_month,-0.7448434300232047,0.31666666666666665,-0.7723279203976804,0.196875,0.6660363747496281,0.0552486187845304,0.68229,0.00226,1.20101,-3.49459,217.0,0.0
ETH-22MAY26-2200-P,put,2026-05-22,2200.0,8.049874001041667,2267.11,33.779939,0.4685,-0.0296015632236636,0.0296015632236636,front_month,-0.7448434300232047,0.31666666666666665,-0.7723279203976804,0.196875,0.659511775959836,0.0666666666666665,-0.31771,0.00226,1.20101,-3.49459,4906.0,1009.0
ETH-22MAY26-2350-C,call,2026-05-22,2350.0,8.049874001041667,2267.11,30.379274,0.4612,0.036561966556541,0.036561966556541,front_month,-0.8224017750094555,0.18333333333333332,-0.848823265870646,0.159375,0.70692816984987,0.0740740740740741,0.31473,0.00229,1.19622,-3.42686,2806.0,258.0
ETH-22MAY26-2350-P,put,2026-05-22,2350.0,8.049874001041667,2267.11,112.221945,0.4612,0.036561966556541,0.036561966556541,front_month,-0.8224017750094555,0.18333333333333332,-0.848823265870646,0.159375,0.7142707894373875,0.0612244897959184,-0.68527,0.00229,1.19622,-3.42686,1040.0,0.0
ETH-22MAY26-2150-C,call,2026-05-22,2150.0,8.049874001041667,2267.11,139.200554,0.4836999999999999,-0.0516560731503985,0.0516560731503985,front_month,-0.5833520815586843,0.45,-0.6130499407827401,0.271875,0.5875419947208629,0.08,0.78272,0.0018,0.99031,-2.97539,150.0,0.0
ETH-22MAY26-2150-P,put,2026-05-22,2150.0,8.049874001041667,2267.11,20.857412,0.4836999999999999,-0.0516560731503985,0.0516560731503985,front_month,-0.5833520815586843,0.45,-0.6130499407827401,0.271875,0.5697642169430852,0.111111111111111,-0.21737,0.0018,0.99052,-2.97599,2243.0,332.0
ETH-22MAY26-2400-C,call,2026-05-22,2400.0,8.049874001041667,2267.11,19.043724,0.4679999999999999,0.0586164764832759,0.0586164764832759,front_month,-0.750155645433223,0.25,-0.7775673276218573,0.178125,0.6483470912488638,0.1176470588235293,0.21835,0.00187,0.99309,-2.88658,4807.0,5585.0
ETH-22MAY26-2400-P,put,2026-05-22,2400.0,8.049874001041667,2267.11,150.76281500000002,0.4679999999999999,0.0586164764832759,0.0586164764832759,front_month,-0.750155645433223,0.25,-0.7775673276218573,0.178125,0.6761651150100924,0.0689655172413793,-0.78165,0.00187,0.99309,-2.88658,385.0,2.0
ETH-22MAY26-2100-C,call,2026-05-22,2100.0,8.049874001041667,2267.11,181.142089,0.5047999999999999,-0.0737105830771335,0.0737105830771335,front_month,-0.3591765912559601,0.5833333333333334,-0.3919469559225251,0.409375,0.525072144363465,0.0676923076923077,0.85668,0.00133,0.76175,-2.38818,0.0,0.0
ETH-22MAY26-2100-P,put,2026-05-22,2100.0,8.049874001041667,2267.11,12.922527,0.5047999999999999,-0.0737105830771335,0.0737105830771335,front_month,-0.3591765912559601,0.5833333333333334,-0.3919469559225251,0.409375,0.45985735914867987,0.1818181818181817,-0.14332,0.00133,0.76175,-2.38818,3608.0,1211.0
ETH-22MAY26-2450-C,call,2026-05-22,2450.0,8.049874001041667,2267.11,12.015683,0.4797999999999999,0.080670986410011,0.080670986410011,front_month,-0.6247873617568184,0.38333333333333336,-0.6539173171313107,0.221875,0.5997704771047908,0.0952380952380951,0.14773,0.00143,0.77744,-2.31692,2277.0,103.0
ETH-22MAY26-2450-P,put,2026-05-22,2450.0,8.049874001041667,2267.11,193.611194,0.4797999999999999,0.080670986410011,0.080670986410011,front_month,-0.6247873617568184,0.38333333333333336,-0.6539173171313107,0.221875,0.4541922458122737,0.4503631961259079,-0.85227,0.00143,0.77744,-2.31692,95.0,0.0
ETH-22MAY26-2500-C,call,2026-05-22,2500.0,8.049874001041667,2267.11,7.481463000000001,0.494,0.1027254963367458,0.1027254963367458,front_month,-0.4739204441123299,0.5166666666666667,-0.5051181519647195,0.346875,0.5234878559734084,0.1176470588235292,0.0986,0.00104,0.58511,-1.7952,9904.0,1949.0
ETH-22MAY26-2500-P,put,2026-05-22,2500.0,8.049874001041667,2267.11,239.180105,0.494,0.1027254963367458,0.1027254963367458,front_month,-0.4739204441123299,0.5166666666666667,-0.5051181519647195,0.346875,0.3907147467297108,0.4299802761341223,-0.9014,0.00104,0.58511,-1.7952,18.0,0.0
ETH-22MAY26-2000-C,call,2026-05-22,2000.0,8.049874001041667,2267.11,273.413466,0.5670000000000001,-0.1178196029306033,0.1178196029306033,front_month,0.3016630057501761,0.7166666666666667,0.25983530276493466,0.696875,0.4498943031941891,0.0449897750511247,0.93781,0.00064,0.41265,-1.4533,5.0,0.0
ETH-22MAY26-2000-P,put,2026-05-22,2000.0,8.049874001041667,2267.11,5.214353,0.5670000000000001,-0.1178196029306033,0.1178196029306033,front_month,0.3016630057501761,0.7166666666666667,0.25983530276493466,0.696875,0.3762238640929684,0.1739130434782609,-0.06219,0.00064,0.41265,-1.4533,2033.0,21.0
ETH-22MAY26-2600-C,call,2026-05-22,2600.0,8.049874001041667,2267.11,3.400665,0.5342,0.1468345161902156,0.1468345161902156,front_month,-0.04681832514695009,0.65,-0.08386981114099241,0.609375,0.3895231693493591,0.1935483870967741,0.04636,0.00054,0.32705,-1.08508,6661.0,483.0
ETH-22MAY26-2600-P,put,2026-05-22,2600.0,8.049874001041667,2267.11,334.852147,0.5342,0.1468345161902156,0.1468345161902156,front_month,-0.04681832514695009,0.65,-0.08386981114099241,0.609375,0.4211748792693202,0.1381578947368422,-0.95361,0.00054,0.32719,-1.08555,1.0,0.0
ETH-22MAY26-2700-C,call,2026-05-22,2700.0,8.049874001041667,2267.11,1.813688,0.5839,0.1909435360436855,0.1909435360436855,front_month,0.48121588660875525,0.7833333333333333,0.43692726694207273,0.759375,0.29478748326745347,0.2499999999999999,0.02465,0.00029,0.19456,-0.70561,2563.0,122.0
ETH-22MAY26-2700-P,put,2026-05-22,2700.0,8.049874001041667,2267.11,433.244721,0.5839,0.1909435360436855,0.1909435360436855,front_month,0.48121588660875525,0.7833333333333333,0.43692726694207273,0.759375,0.3774942501847467,0.1052631578947367,-0.97535,0.00029,0.19456,-0.70561,1.0,0.0
ETH-22MAY26-1800-C,call,2026-05-22,1800.0,8.049874001041667,2267.11,469.51848100000007,0.7539,-0.2060376426375429,0.2060376426375429,front_month,2.28736912601459,0.9833333333333333,2.218325723161814,0.959375,0.35092248174998375,0.0239808153477218,0.98306,0.00017,0.14162,-0.66311,1.0,0.0
ETH-22MAY26-1800-P,put,2026-05-22,1800.0,8.049874001041667,2267.11,1.586977,0.7539,-0.2060376426375429,0.2060376426375429,front_month,2.28736912601459,0.9833333333333333,2.218325723161814,0.959375,0.20136049868337574,0.2857142857142858,-0.01694,0.00017,0.14162,-0.66311,5997.0,53.0
ETH-22MAY26-2800-C,call,2026-05-22,2800.0,8.049874001041667,2267.11,0.906844,0.626,0.2350525558971552,0.2350525558971552,front_month,0.9285044241322004,0.85,0.8780853552176677,0.834375,0.20548948882056894,0.6666666666666667,0.01325,0.00016,0.11465,-0.44579,673.0,1.0
ETH-22MAY26-2800-P,put,2026-05-22,2800.0,8.049874001041667,2267.11,532.544139,0.626,0.2350525558971552,0.2350525558971552,front_month,0.9285044241322004,0.85,0.8780853552176677,0.834375,0.2572997610630613,0.2593320235756384,-0.98675,0.00016,0.11465,-0.44579,0.0,0.0
ETH-22MAY26-3000-C,call,2026-05-22,3000.0,8.049874001041667,2267.11,0.453422,0.7340000000000001,0.3232705956040951,0.3232705956040951,front_month,2.075942952695908,0.9166666666666666,2.009797315639622,0.946875,0.16451254754584765,1.2000000000000002,0.00603,7e-05,0.05754,-0.26235,210.0,30.0
ETH-22MAY26-3000-P,put,2026-05-22,3000.0,8.049874001041667,2267.11,731.8231079999999,0.7340000000000001,0.3232705956040951,0.3232705956040951,front_month,2.075942952695908,0.9166666666666666,2.009797315639622,0.946875,0.17462243765573787,0.3323076923076921,-0.99397,7e-05,0.05754,-0.26235,0.0,0.0
ETH-29MAY26-2250-C,call,2026-05-29,2250.0,15.049874001041667,2267.11,99.072707,0.4886,-0.0075470532969287,0.0075470532969287,front_month,-0.7835005945422295,0.22115384615384615,-0.5617037499858174,0.309375,0.7047591000205615,0.0229885057471264,0.55306,0.00176,1.82163,-2.957,15343.0,870.0
ETH-29MAY26-2250-P,put,2026-05-29,2250.0,15.049874001041667,2267.11,80.255694,0.4886,-0.0075470532969287,0.0075470532969287,front_month,-0.7835005945422295,0.22115384615384615,-0.5617037499858174,0.309375,0.7015688584066747,0.0285714285714284,-0.44694,0.00176,1.82163,-2.957,21155.0,7154.0
ETH-29MAY26-2300-C,call,2026-05-29,2300.0,15.049874001041667,2267.11,74.81463000000001,0.4846999999999999,0.0145074566298062,0.0145074566298062,front_month,-0.8230382477156063,0.14423076923076922,-0.6025711263343887,0.284375,0.729515982655118,0.0303030303030303,0.46429,0.00178,1.83054,-2.94787,10144.0,930.0
ETH-29MAY26-2300-P,put,2026-05-29,2300.0,15.049874001041667,2267.11,106.100748,0.4846999999999999,0.0145074566298062,0.0145074566298062,front_month,-0.8230382477156063,0.14423076923076922,-0.6025711263343887,0.284375,0.7345432134888005,0.0215053763440859,-0.53571,0.00178,1.83054,-2.94787,18392.0,756.0
ETH-29MAY26-2200-C,call,2026-05-29,2200.0,15.049874001041667,2267.11,127.865004,0.4938,-0.0296015632236636,0.0296015632236636,front_month,-0.7307837236443943,0.25961538461538464,-0.5072139148543896,0.321875,0.6802440337396531,0.0266666666666668,0.63951,0.00165,1.72434,-2.82876,11649.0,0.0
ETH-29MAY26-2200-P,put,2026-05-29,2200.0,15.049874001041667,2267.11,59.17157100000001,0.4938,-0.0296015632236636,0.0296015632236636,front_month,-0.7307837236443943,0.25961538461538464,-0.5072139148543896,0.321875,0.6735041069997265,0.0384615384615385,-0.36044,0.00165,1.72429,-2.82866,13493.0,267.0
ETH-29MAY26-2350-C,call,2026-05-29,2350.0,15.049874001041667,2267.11,55.31748400000001,0.4821999999999999,0.036561966556541,0.036561966556541,front_month,-0.8483828971857192,0.028846153846153848,-0.6287681624552672,0.234375,0.7616651845534604,0.0408163265306122,0.37819,0.00171,1.75155,-2.80612,9367.0,360.0
ETH-29MAY26-2350-P,put,2026-05-29,2350.0,15.049874001041667,2267.11,136.480022,0.4821999999999999,0.036561966556541,0.036561966556541,front_month,-0.8483828971857192,0.028846153846153848,-0.6287681624552672,0.234375,0.761079654465753,0.0418410041841002,-0.62176,0.00171,1.75165,-2.80627,17079.0,152.0
